interaction_id,mission_id,profile_id,group_id,mission_domain,mission_complexity_level,mission_duration_days,time_to_deadline_days,is_remote,mission_budget_min,mission_budget_max,profile_experience_level,profile_expected_rate,n_previous_missions_total,n_previous_missions_same_domain,profile_acceptance_rate,profile_completion_rate,profile_avg_response_time_min,profile_rating_mean,same_country,same_region,language_match_score,profile_remote_ok,budget_fit_ratio,skill_overlap_jaccard,embedding_similarity,good_match_label
1,35,1894,35,environnement,2,6,49,1,244,552,0,285,47,33,0.798169969707828,0.5564808890085279,441,3.019521849751831,0,0,1.0,0,1.936842105263158,0.5570202769040484,0.5592458782125669,1
2,210,728,210,sante,2,87,12,0,508,3064,2,1914,41,11,0.6118568547711936,0.49911304827423336,865,3.2774230291107336,1,1,1.0,1,1.600835945663532,0.31368017967724704,0.30308152343105454,0
3,26,1987,26,marketing,1,6,2,0,1272,1946,2,991,17,11,0.10830146476894675,0.42399635456089285,245,3.501205960337298,0,1,0.0,0,1.9636730575176589,0.4268176763423938,0.5830475636172407,1
4,192,309,192,marketing,3,26,54,0,1378,3276,2,1467,46,13,0.7032091992934255,1.0,1195,3.043308152922542,1,1,0.5,0,2.233128834355828,0.55832350840601,0.5408261368777091,1
5,467,567,467,education,2,58,22,0,1100,3466,2,1734,39,28,0.17441575225426353,0.23098426844479653,630,4.354201267209021,0,1,0.0,0,1.9988465974625145,0.7151637108553971,0.8015920355917074,1
6,326,1299,326,agriculture,1,17,55,1,1576,4292,0,1080,49,25,0.7347029123873744,0.6250924546924534,166,4.733908702410493,1,1,1.0,0,3.974074074074074,0.11383352311481795,0.1766848570125834,1
7,268,986,268,data,2,34,28,1,1396,3656,0,993,38,22,0.22163800357270336,0.09739894423357977,98,3.791211641268633,1,1,0.5,0,3.6817724068479354,0.04356661796779504,0.13244752865547585,0
8,79,1521,79,marketing,3,38,6,0,451,3101,1,1771,42,30,0.4047596580570104,0.19437493448427687,894,2.4828324982511614,0,0,0.5,1,1.7509881422924902,0.2652617954818444,0.1637867508464249,0
9,157,690,157,education,3,11,51,0,1552,3120,2,1419,16,10,0.9856619078887716,0.8818788892367369,948,3.3855129034117395,0,1,1.0,0,2.1987315010570825,0.19868847815285748,0.2694057847863658,1
10,191,1550,191,sante,3,38,47,0,56,1291,2,1227,34,4,0.6527430920994067,0.6956786217840312,1223,3.645986473931113,0,1,0.0,0,1.052159739201304,0.9363204314751461,0.9700073750956656,1
11,290,603,290,data,1,56,45,0,411,1394,0,465,38,9,0.8744933040184423,1.0,1271,3.646493690545389,0,0,0.5,0,2.9978494623655916,0.8706412163839136,0.7516955629934955,1
12,105,299,105,sante,3,28,7,1,1416,4193,0,408,15,0,0.5830976116178693,0.31464650825965124,906,3.420379734024529,0,1,0.5,1,10.276960784313726,0.11411634468529779,0.09287677361844301,1
13,500,1138,500,data,2,76,17,1,926,2510,1,952,46,23,0.9062967995452617,1.0,882,3.8942779555732376,0,1,1.0,0,2.6365546218487395,0.23470818892044623,0.4641361463798893,1
